, Interest Coverage Ratio (Interest expense to EBIT), Interest Expense Ratio, Debt ratio %, Borrowing dependency, Inventory and accounts receivable/Net value, No-credit Interval, Accounts Receivable Turnover, Degree of Financial Leverage (DFL), Net Income to Stockholder's Equity, Fixed Assets Turnover Frequency, Revenue per person, Allocation rate per person, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Inventory/Working Capital, Inventory/Current Liability, Working Capital/Equity, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Total assets to GNP price, Total Asset Return Growth Rate Ratio, Net Value Growth Rate, Total Asset Turnover, Continuous Net Profit Growth Rate, Liability to Equity, ROA(B) before interest and depreciation after tax, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (C), Revenue Per Share (Yuan ¥), Research and development expense rate, Regular Net Profit Growth Rate, Operating Profit Per Share (Yuan ¥)
0,0.5654111191253,0.630816016218956,0.0863439852465459,0.373070548421658,0.397761055058593,0.624210291003343,0.0007101336065656,0.0268469570779449,0.841335501481609,870000000.0,0.0110100906246787,0.0169828474105697,0.324360466094635,0.0377326512595897,0.0067932486201151,0.0029543063071849,0.277360075839204,0.0061676612691734,0.733675795790741,0.0025173476068361,0.0117352757296276,0.0002035934408301,0.593964470117035,6460000000.0,0.671571569777007,0.003068209622154,0.264218165994514,0.0004643511428932,0.0644677661169415,0.217602709270446,0.277517806526181,0.565340756999839,0.999153963212074,0.797617721856258,0.809496933071272,0.303536127582221,0.781769553944136,0.0001310161475956,0.473198963287285,0.0001790179017901,0.154367850997064,0.210147065020437,0.210147065020437,0.018361389657728,469000000.0,0.689600338304723,0.11171728686589
1,0.565455387434646,0.630872522294215,0.0302627203192551,0.370512857791506,0.39498380944853,0.623265153413607,0.0009333184543434,0.0268573435386787,0.840706115414243,3860000000.0,0.0032225371972445,0.0123819188407962,0.155981978099659,0.0497200901518184,0.0159568690294776,0.0136480971501722,0.276974860487935,0.0,0.733176133592125,0.0024352977035239,0.0106833447004566,0.000136663345171,0.593978432404673,0.0001201049044291,0.671472789796239,0.0004617285692876,0.264351819474555,0.0005036043860021,0.0494752623688156,0.217651924001478,0.275537793840094,0.573049949140746,0.999159625026142,0.797618551899048,0.80948130938952,0.303525976227945,0.781744711776114,0.0002005136804332,0.484591060449745,0.0004260426042604,0.225326450045551,0.180691921958619,0.180691921958619,0.0067153682108988,8680000000.0,0.68993036776558,0.101376109437342
2,0.565141757063047,0.630601293132971,0.0642138041539438,0.36963718146295,0.397708805864771,0.624311535625948,0.0010165055339697,0.0267876786727506,0.838877230499173,0.0010712008115707,0.0217939867514651,0.0026646531520117,0.590099554938923,0.200717820656121,0.0160417066303936,0.0159619851655415,0.277016404260741,0.0023257143057852,0.737410549510574,0.0021225368641488,0.0311436647800991,0.0001459407851817,0.593984809157925,0.0001404611531224,0.671586741162714,0.0016633670599761,0.263472970137772,0.0004300638218305,0.151424287856072,0.217464990319106,0.276623241161626,0.503560147759516,0.99893003268831,0.797300922191374,0.809229637915968,0.30345153296326,0.781516219970801,0.0001221121375648,0.46807075815908,0.0,0.0,0.174792465551388,0.174792465551388,0.0237155345826338,3630000000.0,0.685430333256467,0.0918491979480498
3,0.565230566137128,0.630691360392323,0.145811288810956,0.372351442573303,0.403567414187398,0.623389374902099,0.0023109776510809,0.0268065123641164,0.841818186361684,0.0002382967907096,0.0223286282919378,0.0124312782317998,0.510192811227662,0.0177653602991957,0.0032120792251425,0.0008145404058865,0.278098374639123,0.0133344088834327,0.73501811495616,0.0024127665110124,0.0182069026503796,0.0001845270766782,0.593951493317539,1780000000.0,0.671529406488077,0.0134166091443165,0.263929101491169,0.0004737838993428,0.109445277361319,0.217591602689314,0.281212386969785,0.551046629905241,0.999083363857059,0.797528492256323,0.80941647111025,0.303528151518147,0.781682536180442,0.0001304379651261,0.461595497513064,0.0001920192019201,0.222289705435773,0.193460031182841,0.193460031182841,0.0350893113722643,4740000000.0,0.689377644881144,0.115300056998616
4,0.5653518140962,0.630752318461391,0.0359766605193941,0.370345103705576,0.394820363252472,0.623988200663231,0.0010205634402929,0.0268333400500252,0.840998643061727,0.0001550820383983,0.0111657829414098,0.0071801829383685,0.108964877598384,0.0299416868151262,0.0072200274259083,0.0064051902855385,0.277263448248281,0.0040150932698032,0.732364566463969,0.0024666866285058,0.0130526798368574,0.0001103020869316,0.593940532863815,8400000000.0,0.671541593635195,0.0092802288328973,0.26336185125611,0.0004557917898186,0.0389805097451274,0.21758271941543,0.275700728975979,0.568820600674554,0.99886405522233,0.797700449454337,0.809592237529958,0.304287327798589,0.782017273868201,0.0001438517984192,0.46810934131837,0.0003220322032203,0.0539528292337281,0.220134001938393,0.220134001938393,0.0101184264258814,917000000.0,0.68924725467887,0.0906277990391662
5,0.565187534335156,0.630634511856002,0.111104392780482,0.372200463895966,0.396702673952973,0.624274552902242,0.0008338997494242,0.026797303244816,0.843587751651244,0.0022611717696222,0.021556041890046,0.0011135518821736,0.473371876821421,0.353070176353005,0.013528992041491,0.0285488381607263,0.276994288896774,0.0007760884303654,0.736739175705648,0.0027887471694294,0.0145952787738054,0.000260770964421,0.594019553644648,0.0005260368810985,0.671661621271893,0.0080915139072668,0.264172319742639,0.000491077286167,0.0869565217391304,0.217599782468964,0.278770602053072,0.611542373788747,0.999027207905279,0.797855944137014,0.809706941393487,0.30421771851213,0.781995800129741,0.000177270745158,0.481578218967817,0.0001130113011301,0.10780443364713,0.25215962243479,0.25215962243479,0.0357396736089054,9150000000.0,0.689450240975174,0.106261705072877
6,0.565178998748363,0.630630744784318,0.12464854732896,0.371315840682826,0.404979482143503,0.624578148735244,0.001057084597202,0.0267954953390819,0.842347866153574,0.001154415563882,0.159755004920465,0.0183716457541851,0.696409399966531,0.106215350438861,0.008863716352568,0.0043183854112331,0.277132048358896,0.003290475444146,0.737336489173638,0.0026818896207114,0.01088636491516,0.0001043315073401,0.593946872205833,4680000000.0,0.671561299116732,0.0029882392054237,0.264584936009511,0.000494595854049,0.272863568215892,0.217635023548026,0.279607567889877,0.576369184645859,0.999018310768886,0.797479658072173,0.80937806289261,0.303578908289523,0.781641974674462,3710000000.0,0.455517811160598,0.0001240124012401,0.242230995039984,0.182419619906451,0.182419619906451,0.0586535989231211,866000000.0,0.689787628148264,0.11098444752056
7,0.565158395757604,0.63061225188696,0.0759137769447048,0.36963718146295,0.398106703571567,0.624134300995678,0.0006959309344343,0.0267911566924924,0.842487637120638,0.0017308668480748,0.0570186390141445,0.0042027862722787,0.340348602727652,0.10539420336984,0.008681687421147,0.0075105969322,0.276988345740788,0.0001860903874777,0.733503814976142,0.0030789715736613,0.0078727393291748,0.0001499939564402,0.593948577247902,0.0001299682944176,0.671569579348285,0.0019059997778951,0.264136575207279,0.0004587114525292,0.095952023988006,0.217599792424071,0.277074528488358,0.586648107500402,0.99906984483163,0.797733789506405,0.80957830641373,0.303915111475163,0.781857273463989,7940000000.0,0.467018947686269,0.0,0.186861018321692,0.248367114744427,0.248367114744427,0.035255683107219,3430000000.0,0.689454886432702,0.113182965556551
8,0.565158395757604,0.63061225188696,0.050881277020286,0.36963718146295,0.395573287532673,0.62452939341665,0.0062755521288791,0.0267911566924924,0.846075123951561,0.002119706690693,0.032510318287972,0.0018160938455725,0.896011542911179,0.331781479977613,0.0287854660229186,0.0317718361898908,0.277019174851232,0.0056871155244739,0.741815770916324,0.0028827461934525,0.0281089788035956,0.0001691862973201,0.594015784562792,0.0001756830830315,0.671592241755601,0.0007289749251957,0.267278209043367,0.0006169222353077,0.260869565217391,0.217679794982932,0.276161779497234,0.74570373146314,0.999300708188947,0.797783730414276,0.80962673982716,0.303519692056251,0.781905975341411,0.0001103172151864,0.481155481744294,0.0,0.160137665755643,0.199275209641397,0.199275209641397,0.0443456297170168,4890000000.0,0.690135258410933,0.165458838856771
9,0.56527715337838,0.6307033465295,0.0986788402817668,0.372261973727473,0.395727355668301,0.623456169902196,0.0017063496089192,0.0268166639751896,0.840679105179271,0.0578070189374081,0.055649721663264,0.0001129937993647,0.166784121268301,0.0720150232856369,0.0023751753300512,0.0036835752337647,0.276865390357163,0.0017121134292299,0.729109635477995,0.0023088708150432,0.0198551888758908,355000000.0,0.593881514480226,5440000000.0,0.671570195527788,0.0019757057935779,0.263220427224903,0.000600602069387,0.170914542728636,0.217571655973095,0.278102648358266,0.532416082231383,0.998982953317765,0.797426535333607,0.809345773950323,0.303560297473352,0.781606465812826,0.00012315286601,0.462331932596898,0.0001010101010101,0.113675473226035,0.201045046563567,0.201045046563567,0.039445225887442,1050000000.0,0.689210264141292,0.0993404445892028
